Geo Code,Geo Name,Line Number
"01","Canada",2
"10","Newfoundland and Labrador",2249
"1001","Division No. 1",4496
"1001101","Division No. 1, Subd. V",6743
"1001105","Portugal Cove South",8990
"1001113","Trepassey",11237
"1001120","St. Shott's",13484
"1001124","Division No. 1, Subd. U",15731
"1001126","Cape Broyle",17978
"1001131","Renews-Cappahayden",20225
"1001136","Fermeuse",22472
"1001140","Port Kirwan",24719
"1001144","Aquaforte",26966
"1001149","Ferryland",29213
"1001155","Division No. 1, Subd. W",31460
"1001169","St. Vincent's-St. Stephen's-Peter's River",33707
"1001174","Gaskiers-Point La Haye",35954
"1001178","St. Mary's",38201
"1001181","Riverhead",40448
"1001186","Admirals Beach",42695
"1001192","St. Joseph's",44942
"1001197","Mount Carmel-Mitchells Brook-St. Catherine's",47189
"1001203","Division No. 1, Subd. X",49436
"1001207","Colinet",51683
"1001214","Division No. 1, Subd. C",53930
"1001219","Branch",56177
"1001225","Point Lance",58424
"1001228","St. Bride's",60671
"1001234","Division No. 1, Subd. B",62918
"1001240","Placentia",65165
"1001254","Fox Harbour",67412
"1001259","Division No. 1, Subd. A",69659
"1001263","Long Harbour-Mount Arlington Heights",71906
"1001267","Southern Harbour",74153
"1001270","Arnold's Cove",76400
"1001274","Come By Chance",78647
"1001277","Sunnyside",80894
"1001281","Chance Cove",83141
"1001285","Norman's Cove-Long Cove",85388
"1001289","Chapel Arm",87635
"1001293","Division No. 1, Subd. Y",89882
"1001298","Whitbourne",92129
"1001304","Division No. 1, Subd. E",94376
"1001308","Whiteway",96623
"1001312","Heart's Delight-Islington",98870
"1001316","Heart's Desire",101117
"1001321","Division No. 1, Subd. F",103364
"1001325","Heart's Content",105611
"1001328","New Perlican",107858
"1001332","Winterton",110105
"1001335","Hant's Harbour",112352
"1001339","Division No. 1, Subd. G",114599
"1001343","Old Perlican",116846
"1001347","Bay de Verde",119093
"1001352","Small Point-Adam's Cove-Blackhead-Broad Cove",121340
"1001357","Division No. 1, Subd. H",123587
"1001361","Salmon Cove",125834
"1001365","Victoria",128081
"1001370","Carbonear",130328
"1001374","Division No. 1, Subd. I",132575
"1001375","Bryant's Cove",134822
"1001379","Harbour Grace",137069
"1001385","Upper Island Cove",139316
"1001391","Division No. 1, Subd. J",141563
"1001394","Bishop's Cove",143810
"1001396","Spaniard's Bay",146057
"1001405","Division No. 1, Subd. K",148304
"1001409","Bay Roberts",150551
"1001415","Division No. 1, Subd. L",152798
"1001421","Division No. 1, Subd. M",155045
"1001426","North River",157292
"1001429","Clarke's Beach",159539
"1001434","South River",161786
"1001437","Cupids",164033
"1001441","Division No. 1, Subd. N",166280
"1001446","Brigus",168527
"1001452","Division No. 1, Subd. O",170774
"1001456","Colliers",173021
"1001461","Conception Harbour",175268
"1001464","Avondale",177515
"1001469","Harbour Main-Chapel's Cove-Lakeview",179762
"1001472","Holyrood",182009
"1001485","Conception Bay South",184256
"1001490","Division No. 1, Subd. R",186503
"1001494","Wabana",188750
"1001504","Portugal Cove-St. Philip's",190997
"1001505","Pouch Cove",193244
"1001507","Flatrock",195491
"1001509","Torbay",197738
"1001511","Logy Bay-Middle Cove-Outer Cove",199985
"1001512","Bauline",202232
"1001517","Paradise",204479
"1001519","St. John's",206726
"1001542","Mount Pearl",208973
"1001551","Petty Harbour-Maddox Cove",211220
"1001557","Bay Bulls",213467
"1001559","Witless Bay",215714
"1001565","Division No. 1, Subd. D",217961
"1002","Division No. 2",220208
"1002001","Division No. 2, Subd. E",222455
"1002002","Lewin's Cove",224702
"1002005","Burin",226949
"1002006","Division No. 2, Subd. F",229196
"1002008","St. Lawrence",231443
"1002009","Division No. 2, Subd. G",233690
"1002011","Lawn",235937
"1002012","Lamaline",238184
"1002013","Lord's Cove",240431
"1002014","Point May",242678
"1002015","Point au Gaul",244925
"1002016","Division No. 2, Subd. H",247172
"1002017","Frenchman's Cove",249419
"1002018","Fortune",251666
"1002019","Grand Bank",253913
"1002021","Garnish",256160
"1002022","Division No. 2, Subd. D",258407
"1002023","Winterland",260654
"1002024","Marystown",262901
"1002025","Fox Cove-Mortier",265148
"1002026","Division No. 2, Subd. I",267395
"1002027","Bay L'Argent",269642
"1002029","Division No. 2, Subd. J",271889
"1002030","Grand le Pierre",274136
"1002031","Division No. 2, Subd. C",276383
"1002033","Rushoon",278630
"1002034","Parkers Cove",280877
"1002036","Terrenceville",283124
"1002037","Red Harbour",285371
"1002039","English Harbour East",287618
"1002040","Baine Harbour",289865
"1002041","St. Bernard's-Jacques Fontaine",292112
"1002044","Division No. 2, Subd. L",294359
"1002048","Division No. 2, Subd. K",296606
"1002055","Little Bay East",298853
"1003","Division No. 3",301100
"1003001","Division No. 3, Subd. A",303347
"1003002","Rencontre East",305594
"1003003","St. Jacques-Coomb's Cove",307841
"1003004","Belleoram",310088
"1003005","Pool's Cove",312335
"1003006","Division No. 3, Subd. B",314582
"1003008","Harbour Breton",316829
"1003009","Division No. 3, Subd. C",319076
"1003010","Seal Cove (Fortune Bay)",321323
"1003011","Hermitage-Sandyville",323570
"1003012","Gaultois",325817
"1003014","Division No. 3, Subd. D",328064
